signature,size,buggy_gen,state+fault,interval,commits,churn
org/gjt/sp/jedit/gui/AbstractContextOptionPane.java^275^294+org/gjt/sp/jedit/options/ToolBarOptionPane.java^347^378,32,False,I_N,D_N,62f22d3^ea72825,2
org/gjt/sp/jedit/JARClassLoader.java^128^158+org/gjt/sp/jedit/JARClassLoader.java^165^191,31,False,I_N,M_N,e472174^5800357,11
org/gjt/sp/jedit/menu/EnhancedCheckBoxMenuItem.java^111^131+org/gjt/sp/jedit/menu/EnhancedMenuItem.java^104^124,21,False,C_N,D_N,3bda930^117c692,8
org/gjt/sp/jedit/textarea/DisplayManager.java^624^644+org/gjt/sp/jedit/textarea/DisplayManager.java^1272^1292,21,True,I_Y^I_N^I_N^I_N^I_Y^I_N,W_Y^D_N^Y_N^D_N^M_Y^D_N,6e164e1^cbe5703^845f4d4^e33e022^3172901^e11358c^69119cf,13^13^1^1^37^6
installer/ServerKiller.java^59^82+org/gjt/sp/jedit/jEdit.java^299^316,24,False,I_N,Y_N,d2acac3^424c854,11
org/gjt/sp/jedit/gui/AddModeDialog.java^83^104+org/gjt/sp/jedit/gui/BufferOptions.java^67^89,23,False,C_N,Y_N,e02fbe6^ccca009,2
org/gjt/sp/jedit/gui/ContextAddDialog.java^136^146+org/gjt/sp/jedit/gui/FontSelectorDialog.java^237^249,13,False,I_N,W_N,f7d72c3^e02fbe6,13
org/gjt/sp/jedit/PerspectiveManager.java^102^128+org/gjt/sp/jedit/jEdit.java^3839^3862,27,True,I_Y^I_N,Y_Y^D_N,0e5baa3^0359cdc^7430485,44^10
org/gjt/sp/jedit/BufferHistory.java^96^123+org/gjt/sp/jedit/jEdit.java^3839^3862,28,True,I_Y^I_N,Y_Y^D_N,0e5baa3^0359cdc^7430485,45^10
org/gjt/sp/jedit/gui/ErrorListDialog.java^92^107+org/gjt/sp/jedit/gui/FilesChangedDialog.java^49^64,16,False,I_N^I_N^I_N^I_N^I_N^I_N^I_N,YY_N^Y_N^D_N^M_N^M_N^Y_N^YY_N,bc56aab^2452f68^4fe603f^ed66478^49e5fe1^26d39ec^e321c13^43a1b3e,21^3^3^7^1^8^8
org/gjt/sp/jedit/gui/AddModeDialog.java^83^96+org/gjt/sp/jedit/gui/ContextAddDialog.java^136^146,14,False,C_N^I_N,D_N^W_N,f7d72c3^96bf692^e02fbe6,2^12
org/gjt/sp/jedit/syntax/TokenMarker.java^496^520+org/gjt/sp/jedit/syntax/TokenMarker.java^545^566,25,True,I_N^I_N^I_N^I_Y,D_N^D_N^D_N^D_Y,3f47c25^433e8db^e593b89^769e0e1^d0f6abf,9^7^6^15
org/gjt/sp/jedit/textarea/Gutter.java^100^121+org/gjt/sp/jedit/textarea/TextAreaPainter.java^805^826,22,False,I_N^I_N^I_N^I_N^I_N^I_N,D_N^M_N^D_N^D_N^M_N^D_N,63eb27d^81ecf31^238bfa9^a9c55fc^47c0bf2^16e1a0e^d740d12,2^4^8^14^5^7
org/gjt/sp/jedit/gui/ContextAddDialog.java^130^149+org/gjt/sp/jedit/options/ToolBarOptionPane.java^526^546,21,False,I_N,Y_N,b37e141^ccca009,4
org/gjt/sp/jedit/gui/SelectLineRange.java^57^67+org/gjt/sp/jedit/options/ToolBarOptionPane.java^532^542,11,False,I_N,W_N,f7d72c3^e02fbe6,15
org/gjt/sp/jedit/buffer/BufferInsertRequest.java^102^128+org/gjt/sp/jedit/buffer/BufferLoadRequest.java^140^166,27,False,I_N,D_N,d9c91ac^cfe0c2b,14
org/gjt/sp/jedit/menu/EnhancedMenuItem.java^106^120+org/gjt/sp/jedit/menu/MarkersProvider.java^127^141,15,False,C_N,D_N,3bda930^117c692,2
org/gjt/sp/jedit/gui/OptionsDialog.java^708^726+org/jedit/options/OptionGroupPane.java^525^543,19,False,I_N,YY_N,39cc2fd^a11facd,38
org/gjt/sp/jedit/gui/OptionsDialog.java^708^726+org/jedit/options/PluginOptionGroup.java^226^244,19,False,I_N,YY_N,39cc2fd^a11facd,38
org/gjt/sp/jedit/textarea/FoldVisibilityManager.java^373^396+org/gjt/sp/jedit/textarea/FoldVisibilityManager.java^403^426,24,False,I_N^I_N^I_N,D_N^D_N^D_N,a20ff27^0f8de7f^b87dccb^a4c02ae,13^12^10
org/gjt/sp/jedit/gui/AddModeDialog.java^78^103+org/gjt/sp/jedit/gui/PasteSpecialDialog.java^95^135,41,False,I_N^I_N^I_N^I_N^I_N^I_N,Y_N^D_N^W_N^D_N^Y_N^W_N,e2c8910^f7d72c3^96bf692^8d81983^e02fbe6^ccca009^72da32c,15^4^13^14^4^4
org/gjt/sp/jedit/gui/DefaultInputHandler.java^141^208+org/gjt/sp/jedit/input/TextAreaInputHandler.java^266^333,68,False,C_N,Y_N,b4d9ea8^eb0d9dc,4
org/gjt/sp/jedit/ActionSet.java^467^489+org/gjt/sp/jedit/jEdit.java^3840^3862,23,True,I_Y^I_N,Y_Y^D_N,0e5baa3^0359cdc^7430485,39^3
org/gjt/sp/jedit/ActionSet.java^467^489+org/gjt/sp/jedit/ServiceManager.java^109^131,23,True,I_Y,Y_Y,5814571^0359cdc,44
org/gjt/sp/jedit/options/ContextOptionPane.java^290^308+org/gjt/sp/jedit/options/ToolBarOptionPane.java^487^505,19,False,I_N,Y_N,21e5d2e^a800430,19
org/gjt/sp/jedit/help/HelpTOCPanel.java^207^230+org/gjt/sp/jedit/jEdit.java^3839^3862,24,True,I_Y^I_N,Y_Y^D_N,0e5baa3^0359cdc^7430485,41^10
org/gjt/sp/jedit/BufferHistory.java^96^123+org/gjt/sp/jedit/PerspectiveManager.java^102^128,28,True,I_Y^I_N,YY_Y^D_N,191151b^0359cdc^7430485,46^15
installer/CBZip2InputStream.java^416^451+installer/CBZip2InputStream.java^482^516,36,False,C_N,YY_N,22185e1^be4cf9d,8
org/gjt/sp/jedit/gui/BufferOptions.java^68^94+org/gjt/sp/jedit/gui/FontSelector.java^343^366,27,False,I_N,Y_N,49e5fe1^00ef443,24
org/gjt/sp/jedit/gui/BufferOptions.java^138^170+org/gjt/sp/jedit/options/GeneralOptionPane.java^52^67,33,True,I_N^I_Y^I_Y,D_N^M_Y^Y_Y,81c19ee^934e338^cd8f1c8^9768efc,33^2^55
org/gjt/sp/jedit/BeanShell.java^269^291+org/gjt/sp/jedit/BeanShell.java^356^376,23,False,I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_Y^I_N,D_N^D_N^D_N^M_N^D_N^Y_N^D_N^Y_N^YY_Y^YY_N,9fb68d9^c67d87b^9a8d917^e6af4c3^f8ddd6d^670d830^c20522c^552b196^06cd93e^f13d41c^1f28c06,44^12^14^6^6^4^4^9^2^13
org/gjt/sp/jedit/print/BufferPrinter1_3.java^89^133+org/gjt/sp/jedit/print/BufferPrinter1_4.java^91^137,47,False,C_N^I_N^I_N^I_N^I_N,D_N^D_N^D_N^YY_N^YY_N,7ea86c6^8bc4ead^6e3dfa4^58f46ba^e62425c^5ee061f,16^75^18^4^4
org/gjt/sp/jedit/TextUtilities.java^417^453+org/gjt/sp/jedit/TextUtilities.java^608^643,37,False,I_N,Y_N,e719fab^efc92bb,8
org/gjt/sp/jedit/browser/BrowserIORequest.java^145^184+org/gjt/sp/jedit/browser/ListDirectoryBrowserTask.java^75^111,40,False,I_N,Y_N,923e836^ee00f3c,5
org/gjt/sp/jedit/pluginmgr/ManagePanel.java^114^144+org/gjt/sp/jedit/pluginmgr/ManagePanel.java^437^467,31,True,I_N^I_Y,D_N^M_Y,3cca33a^55ecec6^b923059,2^31
org/gjt/sp/jedit/ServiceManager.java^109^131+org/gjt/sp/jedit/jEdit.java^3840^3862,23,True,I_Y,Y_Y,0e5baa3^0359cdc,41
org/gjt/sp/jedit/gui/CloseDialog.java^43^58+org/gjt/sp/jedit/gui/ErrorListDialog.java^92^107,16,False,I_N^I_N^I_N^I_N^I_N^I_N^I_N,YY_N^Y_N^D_N^M_N^M_N^Y_N^YY_N,bc56aab^2452f68^4fe603f^ed66478^49e5fe1^26d39ec^e321c13^43a1b3e,21^3^3^7^1^8^8
org/gjt/sp/jedit/ServiceManager.java^110^131+org/gjt/sp/jedit/gui/DockableWindowFactory.java^90^111,22,True,I_Y,YY_Y,fa82ab7^0359cdc,32
org/gjt/sp/jedit/gui/ColorWellButton.java^185^198+org/gjt/sp/jedit/gui/OptionsDialog.java^322^335,14,False,I_N,YY_N,6be8121^9beb1ef,14
org/gjt/sp/jedit/textarea/TextArea.java^4368^4400+org/gjt/sp/jedit/textarea/TextArea.java^4407^4439,33,False,I_N,Y_N,6a1b913^eb0d9dc,8
installer/VariableGridLayout.java^246^299+org/gjt/sp/jedit/gui/VariableGridLayout.java^403^474,72,False,I_N^I_N,Y_N^M_N,96a9238^efd8d62^d4c6068,22^4
org/gjt/sp/jedit/PluginJAR.java^293^309+org/gjt/sp/jedit/PluginJAR.java^420^442,23,False,I_N^I_N,Y_N^YY_N,292dd6d^6864773^96b5765,35^23
org/gjt/sp/jedit/gui/EditAbbrevDialog.java^103^115+org/gjt/sp/jedit/gui/StyleEditor.java^165^177,13,False,I_N,Y_N,f7d72c3^ccca009,2
org/gjt/sp/jedit/io/BufferIORequest.java^269^305+org/gjt/sp/jedit/io/BufferIORequest.java^809^845,37,False,I_N,Y_N,bbab12b^91bac77,1
org/gjt/sp/jedit/buffer/OffsetManager.java^448^481+org/gjt/sp/jedit/buffer/OffsetManager.java^489^522,34,True,I_Y^I_N^I_N^I_Y,W_Y^D_N^YY_N^Y_Y,63eb27d^4158333^13168fa^e24246e^6d0eb76,101^103^15^22
org/gjt/sp/jedit/buffer/KillRing.java^97^124+org/gjt/sp/jedit/jEdit.java^3839^3862,28,True,I_Y^I_N,Y_Y^D_N,0e5baa3^0359cdc^7430485,47^8
org/gjt/sp/jedit/syntax/ParserRuleFactory.java^100^120+org/gjt/sp/jedit/syntax/ParserRuleFactory.java^125^145,21,False,C_N^I_N,Y_N^D_N,b8f3b33^6568f61^668da05,4^6
org/gjt/sp/jedit/options/BrowserColorsOptionPane.java^315^341+org/gjt/sp/jedit/options/ColorOptionPane.java^272^298,27,False,I_N^I_N,Y_N^D_N,47406d9^d8033ef^faef8b3,4^4
org/gjt/sp/jedit/gui/BufferOptions.java^66^94+org/gjt/sp/jedit/gui/PasteSpecialDialog.java^95^135,41,False,I_N,Y_N,bac9d5a^576de28,41
org/gjt/sp/jedit/bsh/NameSpace.java^1037^1056+org/gjt/sp/jedit/bsh/NameSpace.java^1066^1086,21,False,C_N,Y_N,e12da02^a74533f,41
org/gjt/sp/jedit/gui/AddModeDialog.java^78^102+org/gjt/sp/jedit/gui/FontSelectorDialog.java^233^256,25,False,I_N,Y_N,b37e141^ccca009,4
org/gjt/sp/jedit/gui/DockableWindowManager.java^171^192+org/gjt/sp/jedit/jEdit.java^3813^3834,22,False,I_N,Y_N,757c2f8^fa82ab7,22
org/gjt/sp/jedit/gui/FilteredListModel.java^111^127+org/gjt/sp/jedit/gui/FilteredTableModel.java^134^150,17,False,C_N,M_N,c955708^aaedfef,17
org/gjt/sp/jedit/gui/EditAbbrevDialog.java^100^108+org/gjt/sp/jedit/options/ToolBarOptionPane.java^534^542,9,False,I_N,W_N,f7d72c3^e02fbe6,13
org/gjt/sp/jedit/ServiceManager.java^110^131+org/gjt/sp/jedit/gui/DockableWindowManager.java^171^192,22,False,I_N,YY_N,156f231^fa82ab7,22
org/gjt/sp/jedit/options/EditingOptionPane.java^76^111+org/gjt/sp/jedit/options/ModeOptionPane.java^65^100,36,False,C_N,D_N,e278b78^f0b9fa6,35
org/gjt/sp/jedit/gui/ContextAddDialog.java^90^104+org/gjt/sp/jedit/options/StatusBarOptionPane.java^387^401,15,False,I_N,Y_N,6e2f58f^4d138d3,15
org/gjt/sp/jedit/jEdit.java^4065^4091+org/gjt/sp/jedit/jEdit.java^4099^4126,28,False,I_N,M_N,2e3a5f7^d09e688,60
org/jedit/options/OptionGroupPane.java^525^543+org/jedit/options/PluginOptionGroup.java^226^244,19,False,I_N,YY_N,39cc2fd^a11facd,38
org/gjt/sp/jedit/menu/EnhancedCheckBoxMenuItem.java^113^127+org/gjt/sp/jedit/menu/MarkersProvider.java^127^141,15,False,C_N,D_N,3bda930^117c692,2
org/gjt/sp/jedit/textarea/JEditTextArea.java^168^198+org/gjt/sp/jedit/textarea/TextArea.java^3213^3239,31,True,I_Y^I_N,W_Y^Y_N,40654c8^42b60d0^ba286c1,2^27
org/gjt/sp/jedit/gui/EnhancedCheckBoxMenuItem.java^88^106+org/gjt/sp/jedit/gui/EnhancedMenuItem.java^83^101,19,False,I_N,D_N,1a0e2eb^b094287,1
org/gjt/sp/jedit/options/StatusBarOptionPane.java^311^356+org/gjt/sp/jedit/options/ToolBarOptionPane.java^338^380,46,False,I_N,D_N,62f22d3^ea72825,6
org/gjt/sp/jedit/textarea/ColumnBlock.java^172^186+org/gjt/sp/jedit/textarea/ColumnBlock.java^378^392,15,False,I_N^I_N,YY_N^Y_N,9854ecc^6ee6469^576de28,23^28
org/gjt/sp/jedit/bufferio/BufferInsertRequest.java^91^124+org/gjt/sp/jedit/bufferio/BufferLoadRequest.java^103^142,40,False,I_N^I_N,YY_N^Y_N,55bc2df^e857eb6^09aa432,16^2
org/gjt/sp/jedit/browser/BrowserIORequest.java^215^241+org/gjt/sp/jedit/browser/BrowserIORequest.java^268^294,27,False,I_N,D_N,a5693f6^8a930f6,6
org/gjt/sp/jedit/GUIUtilities.java^690^719+org/gjt/sp/jedit/GUIUtilities.java^734^763,30,False,I_N,Y_N,3bda930^ea72825,4
org/gjt/sp/jedit/pluginmgr/InstallPluginsDialog.java^64^75+org/gjt/sp/jedit/pluginmgr/PluginManager.java^57^67,12,True,I_N^I_Y,M_N^D_Y,16e1a0e^a58f353^550e81b,6^2
org/gjt/sp/jedit/GUIUtilities.java^1730^1787+org/gjt/sp/jedit/textarea/TextArea.java^6323^6381,59,False,I_N,Y_N,369e221^ccca009,109
org/gjt/sp/jedit/gui/FilePropertiesDialog.java^169^185+org/gjt/sp/jedit/gui/FilePropertiesDialog.java^272^288,17,False,I_N,YY_N,e82368b^78ecab5,46
org/gjt/sp/jedit/gui/FontSelectorDialog.java^233^256+org/gjt/sp/jedit/gui/PasteSpecialDialog.java^95^133,39,False,C_N,YY_N,33df289^576de28,39
org/gjt/sp/jedit/MiscUtilities.java^1115^1137+org/gjt/sp/util/StandardUtilities.java^65^87,23,False,I_N^I_N,W_N^YY_N,7e452f6^c006829^4b32b25,21^4
org/gjt/sp/jedit/gui/KeyEventTranslator.java^222^240+org/gjt/sp/jedit/gui/KeyEventTranslator.java^279^297,19,False,C_N,Y_N,065f7d8^0013b3a,4
org/gjt/sp/jedit/gui/RecentDirectoriesMenu.java^45^78+org/gjt/sp/jedit/gui/RecentFilesMenu.java^45^77,34,False,I_N,D_N,9f33f6c^d76ecfc,2
org/jedit/options/PluginOptionGroup.java^204^222+org/jedit/options/PluginOptionGroup.java^226^244,19,False,I_N,YY_N,3222d73^a11facd,37
org/gjt/sp/jedit/textarea/Selection.java^268^303+org/gjt/sp/jedit/textarea/Selection.java^660^695,36,False,I_N,YY_N,0ee8640^ca70965,2
org/gjt/sp/jedit/options/AbbrevsOptionPane.java^102^116+org/gjt/sp/jedit/options/BrowserColorsOptionPane.java^66^80,15,False,I_N^I_N^I_N^I_N^I_N^I_N^I_Y,Y_N^D_N^Y_N^D_N^Y_N^D_N^YY_Y,a8f94d9^5f34288^1517182^e278b78^f0b9fa6^6b4f8c9^06615a3^72b3465,7^4^10^11^2^2^4
org/gjt/sp/jedit/gui/DockableWindowManager.java^439^457+org/gjt/sp/jedit/gui/DockableWindowManagerImpl.java^677^697,21,False,I_N^I_N,Y_N^YY_N,d70d3f2^cf20663^576de28,60^7
org/gjt/sp/jedit/textarea/CircleFoldPainter.java^55^75+org/gjt/sp/jedit/textarea/SquareFoldPainter.java^47^67,21,False,I_N,W_N,f2dad6d^4b55fd4,44
